Type,S,Q_1,CA_1,A_1,Q_2,CA_2,A_2,Q_3,A_3,Level,Q_type,Deviation
H_3,You will be provided a story. At the end there is a yes/no question. Please answer as accurately as possible.,"Meet Hannah. She is late for the lunch break and when she comes in, all the places are taken. Then, she discovers there is a free chair next to Ama and her boyfriend, Matthias. Hannah: Hi guys, I'm late, can I sit here? Ama: Oh actually, I was saving that seat for Abi. Hannah: Oh, okay. Ama: Sorry! Hannah meets Carolyn. Hannah: Hey Carolyn, can I sit here? Carolyn: Sure. Carolyn: Hey are you OK? You look a bit upset. Hannah: Yeah I'm alright, it's just that Ama is so mean sometimes. Carolyn: What happened? Hannah: Well, I came in to lunch a bit late, and there were hardly any seats left, but when I asked if I could sit at the table with her and Matthias and their friends, Ama said she was saving the seat for Abi! Carolyn: So? Ama and Abi always save seats for each other. Hannah: But Abi went home sick this morning! So Ama couldn't have been saving the seat for her. She was just making up an excuse. Hannah: I think the real reason that she didn't want me to sit with them is that she's jealous. She thinks her boyfriend Matthias has a crush on me, but it isn't true! Carolyn: Well, I didn't know that Abi was off sick. I was in a rehearsal all morning, and actually, Ama was there too, so she probably didn't know either that Abi had gone home. Carolyn: Besides, we sat with her and Matthias at lunch yesterday and that didn't bother her. So I don't think she's jealous of you.
Carolyn: I thought that Hannah liked Matthias (Ama's boyfriend). Is this correct?",No,No,why?,,"Because the dialogue gives no evidence that Hannah likes Matthias. In fact, Hannah says Ama thinks Matthias has a crush on her “but it isn’t true,” and she never says she likes him; she was just looking for a seat. Carolyn also points out they all sat together yesterday without issue, which undermines any jealousy/romance idea.",,,3,I,
H_3,You will be provided a story. At the end there is a yes/no question. Please answer as accurately as possible.,"Meet Hannah. She is late for the lunch break and when she comes in, all the places are taken. Then, she discovers there is a free chair next to Ama and her boyfriend, Matthias. Hannah: Hi guys, I'm late, can I sit here? Ama: Oh actually, I was saving that seat for Abi. Hannah: Oh, okay. Ama: Sorry! Hannah meets Carolyn. Hannah: Hey Carolyn, can I sit here? Carolyn: Sure. Carolyn: Hey are you OK? You look a bit upset. Hannah: Yeah I'm alright, it's just that Ama is so mean sometimes. Carolyn: What happened? Hannah: Well, I came in to lunch a bit late, and there were hardly any seats left, but when I asked if I could sit at the table with her and Matthias and their friends, Ama said she was saving the seat for Abi! Carolyn: So? Ama and Abi always save seats for each other. Hannah: But Abi went home sick this morning! So Ama couldn't have been saving the seat for her. She was just making up an excuse. Hannah: I think the real reason that she didn't want me to sit with them is that she's jealous. She thinks her boyfriend Matthias has a crush on me, but it isn't true! Carolyn: Well, I didn't know that Abi was off sick. I was in a rehearsal all morning, and actually, Ama was there too, so she probably didn't know either that Abi had gone home. Carolyn: Besides, we sat with her and Matthias at lunch yesterday and that didn't bother her. So I don't think she's jealous of you.
Carolyn: We are friends. I told Hannah that Abi had a rehearsal. Is this correct?",No,No.,why?,,Because you didn’t say Abi had a rehearsal. You told Hannah that you and Ama were in a rehearsal all morning and that you didn’t know Abi had gone home sick. You never claimed Abi had a rehearsal.,,,3,M,
H_3,You will be provided a story. At the end there is a yes/no question. Please answer as accurately as possible.,"Meet Hannah. She is late for the lunch break and when she comes in, all the places are taken. Then, she discovers there is a free chair next to Ama and her boyfriend, Matthias. Hannah: Hi guys, I'm late, can I sit here? Ama: Oh actually, I was saving that seat for Abi. Hannah: Oh, okay. Ama: Sorry! Hannah meets Carolyn. Hannah: Hey Carolyn, can I sit here? Carolyn: Sure. Carolyn: Hey are you OK? You look a bit upset. Hannah: Yeah I'm alright, it's just that Ama is so mean sometimes. Carolyn: What happened? Hannah: Well, I came in to lunch a bit late, and there were hardly any seats left, but when I asked if I could sit at the table with her and Matthias and their friends, Ama said she was saving the seat for Abi! Carolyn: So? Ama and Abi always save seats for each other. Hannah: But Abi went home sick this morning! So Ama couldn't have been saving the seat for her. She was just making up an excuse. Hannah: I think the real reason that she didn't want me to sit with them is that she's jealous. She thinks her boyfriend Matthias has a crush on me, but it isn't true! Carolyn: Well, I didn't know that Abi was off sick. I was in a rehearsal all morning, and actually, Ama was there too, so she probably didn't know either that Abi had gone home. Carolyn: Besides, we sat with her and Matthias at lunch yesterday and that didn't bother her. So I don't think she's jealous of you.
Ama: I told Hannah she couldn't sit with us because I was keeping that seat for Abi. Is this true?",Yes,Yes.,why?,,"Because in the story Ama explicitly says to Hannah, “I was saving that seat for Abi,” so it’s true that she told her that. Whether Abi was actually coming is unclear—Hannah says Abi went home sick, but Carolyn suggests Ama likely didn’t know that.",,,3,M,
H_3,You will be provided a story. At the end there is a yes/no question. Please answer as accurately as possible.,"Meet Hannah. She is late for the lunch break and when she comes in, all the places are taken. Then, she discovers there is a free chair next to Ama and her boyfriend, Matthias. Hannah: Hi guys, I'm late, can I sit here? Ama: Oh actually, I was saving that seat for Abi. Hannah: Oh, okay. Ama: Sorry! Hannah meets Carolyn. Hannah: Hey Carolyn, can I sit here? Carolyn: Sure. Carolyn: Hey are you OK? You look a bit upset. Hannah: Yeah I'm alright, it's just that Ama is so mean sometimes. Carolyn: What happened? Hannah: Well, I came in to lunch a bit late, and there were hardly any seats left, but when I asked if I could sit at the table with her and Matthias and their friends, Ama said she was saving the seat for Abi! Carolyn: So? Ama and Abi always save seats for each other. Hannah: But Abi went home sick this morning! So Ama couldn't have been saving the seat for her. She was just making up an excuse. Hannah: I think the real reason that she didn't want me to sit with them is that she's jealous. She thinks her boyfriend Matthias has a crush on me, but it isn't true! Carolyn: Well, I didn't know that Abi was off sick. I was in a rehearsal all morning, and actually, Ama was there too, so she probably didn't know either that Abi had gone home. Carolyn: Besides, we sat with her and Matthias at lunch yesterday and that didn't bother her. So I don't think she's jealous of you.
Hannah: I thought Ama knew that Abi had gone home sick. Is this true?",Yes,No.,why?,,Because Carolyn says Ama was in rehearsal with her all morning and “probably didn’t know” Abi had gone home sick. So there’s no evidence Ama knew; she may have genuinely been saving the seat as she and Abi usually do.,,,3,I,
H_3,You will be provided a story. At the end there is a yes/no question. Please answer as accurately as possible.,"Meet Hannah. She is late for the lunch break and when she comes in, all the places are taken. Then, she discovers there is a free chair next to Ama and her boyfriend, Matthias. Hannah: Hi guys, I'm late, can I sit here? Ama: Oh actually, I was saving that seat for Abi. Hannah: Oh, okay. Ama: Sorry! Hannah meets Carolyn. Hannah: Hey Carolyn, can I sit here? Carolyn: Sure. Carolyn: Hey are you OK? You look a bit upset. Hannah: Yeah I'm alright, it's just that Ama is so mean sometimes. Carolyn: What happened? Hannah: Well, I came in to lunch a bit late, and there were hardly any seats left, but when I asked if I could sit at the table with her and Matthias and their friends, Ama said she was saving the seat for Abi! Carolyn: So? Ama and Abi always save seats for each other. Hannah: But Abi went home sick this morning! So Ama couldn't have been saving the seat for her. She was just making up an excuse. Hannah: I think the real reason that she didn't want me to sit with them is that she's jealous. She thinks her boyfriend Matthias has a crush on me, but it isn't true! Carolyn: Well, I didn't know that Abi was off sick. I was in a rehearsal all morning, and actually, Ama was there too, so she probably didn't know either that Abi had gone home. Carolyn: Besides, we sat with her and Matthias at lunch yesterday and that didn't bother her. So I don't think she's jealous of you.
Carolyn: I hoped Hannah would understand that Ama didn't know that Abi had gone home sick. Is this correct?",Yes,Yes,why?,,"Because Carolyn explains that she herself didn’t know Abi was sick and that Ama had been in rehearsal with her all morning, so Ama probably didn’t know either. She’s offering this to show Ama’s “saving the seat” could have been genuine, not a lie, and also notes there was no jealousy yesterday—so she wants Hannah to understand Ama likely didn’t know about Abi going home.",,,4,I,
H_3,You will be provided a story. At the end there is a yes/no question. Please answer as accurately as possible.,"Meet Hannah. She is late for the lunch break and when she comes in, all the places are taken. Then, she discovers there is a free chair next to Ama and her boyfriend, Matthias. Hannah: Hi guys, I'm late, can I sit here? Ama: Oh actually, I was saving that seat for Abi. Hannah: Oh, okay. Ama: Sorry! Hannah meets Carolyn. Hannah: Hey Carolyn, can I sit here? Carolyn: Sure. Carolyn: Hey are you OK? You look a bit upset. Hannah: Yeah I'm alright, it's just that Ama is so mean sometimes. Carolyn: What happened? Hannah: Well, I came in to lunch a bit late, and there were hardly any seats left, but when I asked if I could sit at the table with her and Matthias and their friends, Ama said she was saving the seat for Abi! Carolyn: So? Ama and Abi always save seats for each other. Hannah: But Abi went home sick this morning! So Ama couldn't have been saving the seat for her. She was just making up an excuse. Hannah: I think the real reason that she didn't want me to sit with them is that she's jealous. She thinks her boyfriend Matthias has a crush on me, but it isn't true! Carolyn: Well, I didn't know that Abi was off sick. I was in a rehearsal all morning, and actually, Ama was there too, so she probably didn't know either that Abi had gone home. Carolyn: Besides, we sat with her and Matthias at lunch yesterday and that didn't bother her. So I don't think she's jealous of you.
Carolyn: When Hannah sat down with me, I immediately saw something was wrong, so I asked her what was up.",Yes,Yes,why?,,"Because the story says Carolyn immediately noticed Hannah looked upset and asked what was wrong: “Hey, are you OK? You look a bit upset,” and later, “I immediately saw something was wrong, so I asked her what was up.”",,,4,M,
H_3,You will be provided a story. At the end there is a yes/no question. Please answer as accurately as possible.,"Meet Hannah. She is late for the lunch break and when she comes in, all the places are taken. Then, she discovers there is a free chair next to Ama and her boyfriend, Matthias. Hannah: Hi guys, I'm late, can I sit here? Ama: Oh actually, I was saving that seat for Abi. Hannah: Oh, okay. Ama: Sorry! Hannah meets Carolyn. Hannah: Hey Carolyn, can I sit here? Carolyn: Sure. Carolyn: Hey are you OK? You look a bit upset. Hannah: Yeah I'm alright, it's just that Ama is so mean sometimes. Carolyn: What happened? Hannah: Well, I came in to lunch a bit late, and there were hardly any seats left, but when I asked if I could sit at the table with her and Matthias and their friends, Ama said she was saving the seat for Abi! Carolyn: So? Ama and Abi always save seats for each other. Hannah: But Abi went home sick this morning! So Ama couldn't have been saving the seat for her. She was just making up an excuse. Hannah: I think the real reason that she didn't want me to sit with them is that she's jealous. She thinks her boyfriend Matthias has a crush on me, but it isn't true! Carolyn: Well, I didn't know that Abi was off sick. I was in a rehearsal all morning, and actually, Ama was there too, so she probably didn't know either that Abi had gone home. Carolyn: Besides, we sat with her and Matthias at lunch yesterday and that didn't bother her. So I don't think she's jealous of you.
Ama: I thought that my boyfriend, Matthias, believed that Hannah liked him. Is this true?",No,No.,why?,,Because nothing in the story suggests Matthias thinks Hannah likes him. The only suspicion raised is Hannahâs guess that Ama is jealous because she thinks Matthias likes Hannahâan idea Carolyn disputesâand thereâs no indication from Matthias about his beliefs at all.,,,4,I,
H_3,You will be provided a story. At the end there is a yes/no question. Please answer as accurately as possible.,"Meet Hannah. She is late for the lunch break and when she comes in, all the places are taken. Then, she discovers there is a free chair next to Ama and her boyfriend, Matthias. Hannah: Hi guys, I'm late, can I sit here? Ama: Oh actually, I was saving that seat for Abi. Hannah: Oh, okay. Ama: Sorry! Hannah meets Carolyn. Hannah: Hey Carolyn, can I sit here? Carolyn: Sure. Carolyn: Hey are you OK? You look a bit upset. Hannah: Yeah I'm alright, it's just that Ama is so mean sometimes. Carolyn: What happened? Hannah: Well, I came in to lunch a bit late, and there were hardly any seats left, but when I asked if I could sit at the table with her and Matthias and their friends, Ama said she was saving the seat for Abi! Carolyn: So? Ama and Abi always save seats for each other. Hannah: But Abi went home sick this morning! So Ama couldn't have been saving the seat for her. She was just making up an excuse. Hannah: I think the real reason that she didn't want me to sit with them is that she's jealous. She thinks her boyfriend Matthias has a crush on me, but it isn't true! Carolyn: Well, I didn't know that Abi was off sick. I was in a rehearsal all morning, and actually, Ama was there too, so she probably didn't know either that Abi had gone home. Carolyn: Besides, we sat with her and Matthias at lunch yesterday and that didn't bother her. So I don't think she's jealous of you.
Hannah: I told Ama that Abi was sick, so she had gone home, and that she no longer had to keep that chair free for her. Is this true?",No,No,why?,,"Because in the story Hannah never tells Ama that Abi went home sick. With Ama she only says âOh, okayâ and moves on; she mentions Abiâs sickness only to Carolyn afterward.",,,4,M,
H_3,You will be provided a story. At the end there is a yes/no question. Please answer as accurately as possible.,"Meet Hannah. She is late for the lunch break and when she comes in, all the places are taken. Then, she discovers there is a free chair next to Ama and her boyfriend, Matthias. Hannah: Hi guys, I'm late, can I sit here? Ama: Oh actually, I was saving that seat for Abi. Hannah: Oh, okay. Ama: Sorry! Hannah meets Carolyn. Hannah: Hey Carolyn, can I sit here? Carolyn: Sure. Carolyn: Hey are you OK? You look a bit upset. Hannah: Yeah I'm alright, it's just that Ama is so mean sometimes. Carolyn: What happened? Hannah: Well, I came in to lunch a bit late, and there were hardly any seats left, but when I asked if I could sit at the table with her and Matthias and their friends, Ama said she was saving the seat for Abi! Carolyn: So? Ama and Abi always save seats for each other. Hannah: But Abi went home sick this morning! So Ama couldn't have been saving the seat for her. She was just making up an excuse. Hannah: I think the real reason that she didn't want me to sit with them is that she's jealous. She thinks her boyfriend Matthias has a crush on me, but it isn't true! Carolyn: Well, I didn't know that Abi was off sick. I was in a rehearsal all morning, and actually, Ama was there too, so she probably didn't know either that Abi had gone home. Carolyn: Besides, we sat with her and Matthias at lunch yesterday and that didn't bother her. So I don't think she's jealous of you.
Hannah: I didn't believe that Matthias (Ama's boyfriend) really liked me. I wanted Carolyn to know that. Is this correct?",Yes,Yes,why?,,"Because Hannah explicitly told Carolyn, âShe thinks her boyfriend Matthias has a crush on me, but it isnât true.â That shows Hannah doesnât believe Matthias likes her, and by saying it to Carolyn she was making sure Carolyn knew that.",,,5,I,
H_3,You will be provided a story. At the end there is a yes/no question. Please answer as accurately as possible.,"Meet Hannah. She is late for the lunch break and when she comes in, all the places are taken. Then, she discovers there is a free chair next to Ama and her boyfriend, Matthias. Hannah: Hi guys, I'm late, can I sit here? Ama: Oh actually, I was saving that seat for Abi. Hannah: Oh, okay. Ama: Sorry! Hannah meets Carolyn. Hannah: Hey Carolyn, can I sit here? Carolyn: Sure. Carolyn: Hey are you OK? You look a bit upset. Hannah: Yeah I'm alright, it's just that Ama is so mean sometimes. Carolyn: What happened? Hannah: Well, I came in to lunch a bit late, and there were hardly any seats left, but when I asked if I could sit at the table with her and Matthias and their friends, Ama said she was saving the seat for Abi! Carolyn: So? Ama and Abi always save seats for each other. Hannah: But Abi went home sick this morning! So Ama couldn't have been saving the seat for her. She was just making up an excuse. Hannah: I think the real reason that she didn't want me to sit with them is that she's jealous. She thinks her boyfriend Matthias has a crush on me, but it isn't true! Carolyn: Well, I didn't know that Abi was off sick. I was in a rehearsal all morning, and actually, Ama was there too, so she probably didn't know either that Abi had gone home. Carolyn: Besides, we sat with her and Matthias at lunch yesterday and that didn't bother her. So I don't think she's jealous of you.
Ama: I'm in Matthias' class. Normally I always save a seat for Abi, but not today, because she was sick. I told all this to Hannah. Is this correct?",No,No.,why?,,"Because in the lunch scene Ama tells Hannah, âI was saving that seat for Abi.â That contradicts ânot today, because she was sick,â and thereâs no point where Ama tells Hannah that explanation. In fact, Carolyn suggests Ama probably didnât even know Abi had gone home sick.",,,5,M,
H_3,You will be provided a story. At the end there is a yes/no question. Please answer as accurately as possible.,"Meet Hannah. She is late for the lunch break and when she comes in, all the places are taken. Then, she discovers there is a free chair next to Ama and her boyfriend, Matthias. Hannah: Hi guys, I'm late, can I sit here? Ama: Oh actually, I was saving that seat for Abi. Hannah: Oh, okay. Ama: Sorry! Hannah meets Carolyn. Hannah: Hey Carolyn, can I sit here? Carolyn: Sure. Carolyn: Hey are you OK? You look a bit upset. Hannah: Yeah I'm alright, it's just that Ama is so mean sometimes. Carolyn: What happened? Hannah: Well, I came in to lunch a bit late, and there were hardly any seats left, but when I asked if I could sit at the table with her and Matthias and their friends, Ama said she was saving the seat for Abi! Carolyn: So? Ama and Abi always save seats for each other. Hannah: But Abi went home sick this morning! So Ama couldn't have been saving the seat for her. She was just making up an excuse. Hannah: I think the real reason that she didn't want me to sit with them is that she's jealous. She thinks her boyfriend Matthias has a crush on me, but it isn't true! Carolyn: Well, I didn't know that Abi was off sick. I was in a rehearsal all morning, and actually, Ama was there too, so she probably didn't know either that Abi had gone home. Carolyn: Besides, we sat with her and Matthias at lunch yesterday and that didn't bother her. So I don't think she's jealous of you.
Carolyn: Ama hoped Hannah would join them at the table. I thought she would understand. Is this correct?",No,No,why?,,"Because Ama told Hannah the seat was saved for Abi and didnât let her sit. Given Ama had been in rehearsal and likely didnât know Abi had gone home sick, she genuinely believed Abi would be joining. So thereâs no indication Ama hoped Hannah would join them; her actions show the opposite.",,,5,I,
H_3,You will be provided a story. At the end there is a yes/no question. Please answer as accurately as possible.,"Meet Hannah. She is late for the lunch break and when she comes in, all the places are taken. Then, she discovers there is a free chair next to Ama and her boyfriend, Matthias. Hannah: Hi guys, I'm late, can I sit here? Ama: Oh actually, I was saving that seat for Abi. Hannah: Oh, okay. Ama: Sorry! Hannah meets Carolyn. Hannah: Hey Carolyn, can I sit here? Carolyn: Sure. Carolyn: Hey are you OK? You look a bit upset. Hannah: Yeah I'm alright, it's just that Ama is so mean sometimes. Carolyn: What happened? Hannah: Well, I came in to lunch a bit late, and there were hardly any seats left, but when I asked if I could sit at the table with her and Matthias and their friends, Ama said she was saving the seat for Abi! Carolyn: So? Ama and Abi always save seats for each other. Hannah: But Abi went home sick this morning! So Ama couldn't have been saving the seat for her. She was just making up an excuse. Hannah: I think the real reason that she didn't want me to sit with them is that she's jealous. She thinks her boyfriend Matthias has a crush on me, but it isn't true! Carolyn: Well, I didn't know that Abi was off sick. I was in a rehearsal all morning, and actually, Ama was there too, so she probably didn't know either that Abi had gone home. Carolyn: Besides, we sat with her and Matthias at lunch yesterday and that didn't bother her. So I don't think she's jealous of you.
Hannah: I asked if I could sit with Ama and her friends, but in the end I sat with Carolyn, because Ama said she was keeping the seat for Abi. Is this correct?",Yes,Yes.,why?,,"Because thatâs exactly what the story says: Hannah asked to sit by Ama and Matthias, Ama told her the seat was being saved for Abi, so Hannah went and sat with Carolyn instead. Whether Abi was actually coming back doesnât change that Ama said the seat was for her, which is the reason Hannah gives.",,,5,M,
